"","x"
"1",0.0288534066753801
"2",0.0116673121560125
"3",3.08867062405026e-05
"4",0.0191195287785917
"5",0.0127377371071
"6",0.00569337620255602
"7",0.00233151695283769
"8",0.0153030201735233
"9",0.00796492957751553
"10",0.000496549291910909
"11",0.00366850560130194
"12",0.00135954551468729
"13",0.0110801198786883
"14",0.00283506928111784
"15",0.0319808026990111
"16",0.00083130708015517
"17",0.0159549050698582
"18",0.000812190305507546
"19",0.00788632674660113
"20",0.000355426711856238
"21",0.0297173277732963
"22",0.0273762942944842
"23",0.00364980394380122
"24",0.00209780554394122
"25",0.015706596298353
"26",0.000638559343952151
"27",0.000394970077766506
"28",0.00232836421147808
"29",0.00149554915695458
"30",0.0030855351557387
"31",0.00765003692871056
"32",0.0152713656354147
"33",0.00302709182957329
"34",0.00398266808799761
"35",0.00191727515900779
"36",3.8261455259582e-05
"37",0.00885680653289158
"38",0.00312515446752906
"39",0.00190926188178863
"40",0.000612987573696703
"41",3.32529574793751e-05
"42",0.024026800242083
"43",0.00244766251105991
"44",0.00145638111739848
"45",0.000161289135966306
"46",0.000115909537596833
"47",0.0028533379348563
"48",0.00351403806882763
"49",0.0134878286896533
"50",0.0355959044511432
"51",0.00518292369363459
"52",0.000746732288866146
"53",0.00725445023588243
"54",0.016120411543558
"55",0.00219961638529027
"56",0.000673384527010854
"57",9.17122058154001e-05
"58",0.00223039257852075
"59",0.00589881893209312
"60",0.00016818266560163
"61",0.00416104899479566
"62",0.0430751441781198
"63",0.00414855051849741
"64",0.0329861101551421
"65",0.0222713754932055
"66",0.00709999116673239
"67",0.0523074218086231
"68",0.0118122945843087
"69",0.0312067135892893
"70",0.00202003083689184
"71",0.00830795007228711
"72",0.00171609572312789
"73",0.000455865851214048
"74",0.00210545169795679
"75",0.0173245693554557
"76",0.0292946982434795
"77",0.00667571255408346
"78",0.00460148746800073
"79",0.0077217570702993
"80",0.0444525536248793
"81",0.00776658592833703
"82",0.00559816621123914
"83",0.00385310689362146
"84",0.00293648095771491
"85",0.00305597400006937
"86",0.00119365105608527
"87",0.0034179339698323
"88",6.75969080924616e-06
"89",0.000663436721532082
"90",0.0265741962174892
"91",0.00813014391079137
"92",0.00552674108491278
"93",0.00352807443242415
"94",0.0138437985354634
"95",0.000502395355893831
"96",0.00923514470872832
"97",0.000433102835897829
"98",0.00412242190314761
"99",0.007602157513369
"100",0.00176341343663165
"101",0.00142914935174171
"102",0.00418205987570938
"103",0.00159071681194832
"104",0.00426834233739099
"105",0.00193072406398382
"106",0.0145593613671462
"107",0.00170078997570409
"108",0.000208084140439357
"109",0.0109812378942221
"110",0.00234067766376931
"111",1.90034011725196e-05
"112",0.000734894067210989
"113",1.17927286271415e-05
"114",0.00101116054559146
"115",0.00109611860677918
"116",0.00252473275956282
"117",8.68373292989429e-06
"118",0.00937414618434309
"119",0.00372903564525936
"120",0.0220515857295045
"121",0.0904637271315893
"122",0.0179117815916129
"123",0.0032640684045306
"124",0.00338250095726613
"125",0.00230871023276831
"126",0.0241026226078568
"127",0.00494691432012229
"128",0.00459933672099749
"129",0.0013631720543332
"130",0.0133223510358945
"131",0.00776531779052592
"132",6.46935800096544e-05
"133",0.00483678254640919
"134",0.00637911541842626
"135",0.0167765829239732
"136",0.00771900351370122
"137",0.00147915568488479
"138",5.88912282026326e-05
"139",0.000596415722926668
"140",0.0236365405397324
"141",0.000611327142589284
"142",0.0141457931043654
"143",4.0835684498888e-05
"144",0.00367901431880936
