"","x"
"1",0.00694691324639734
"3",0.00261527492548513
"6",0.00769646896244926
"7",0.00437307512899238
"20",0.0327019410145162
"21",0.0284258755364055
"22",0.0186580251641405
"23",0.013305815978164
"24",0.0179174180958237
"27",0.0305371113813979
"28",0.0190820102891285
"33",0.593060316979175
"35",0.00168872101334158
"36",0.0219073614688085
"37",0.0143359613840213
"42",0.0470182700299467
"59",0.00355988991088321
"63",0.0104305625729116
"75",0.00119693594888677
"79",0.00122072350380016
"80",0.00154053326721978
"81",0.00835345491854085
"82",0.0104084675628344
"83",0.0023596669070409
"84",0.00211767241971749
"85",0.0119980819846531
"95",0.0119258124108948
"107",0.000835094661672471
"120",0.0106285403795393
"121",0.00435362628726795
"122",0.00756098887125953
"126",0.00286994977595519
"127",0.125929276487798
"128",0.115620102610751
"129",0.139888722555432
"130",0.124159590635723
"131",0.131161469799773
"143",0.0207009538159114
"145",0.00250892377978014
"146",0.0061139312588157
"148",0.00143600311747913
"149",0.0079444019507655
"150",0.00350589475743738
"151",0.0140568548132659
"152",0.00106524055143956
"153",0.00504513215943978
"154",0.01389044075437
"156",0.00595503078548963
"157",0.00584774635527064
"158",0.00360318068511302
"159",0.00344233868331051
"160",0.0221892488178158
"163",0.00403733465705726
"165",0.00660958712031585
"166",0.0142760535368369
"167",0.00684184282344817
"168",0.00186598756096251
"169",0.0154738717045812
"170",0.00513828901568524
"171",0.000713323577053729
"172",0.0108103988941552
"173",0.0100747590284311
"174",0.00251589740429538
"175",0.242210625126181
"176",0.000609454600520611
"177",0.00330430111971034
"178",0.0266850599783383
