"","x"
"1",0.00224587962867932
"2",0.00072814281016991
"3",0.000428892863120751
"4",0.000505684992753941
"5",0.000529197398389262
"6",7.01811167721758e-06
"7",0.00188876043930231
"8",0.000307134194272269
"9",8.19747985876308e-05
"10",9.70922482955176e-07
"11",5.50261145302776e-05
"12",0.00137266325950438
"13",0.00261723124134555
"14",0.000180830497968653
"15",4.88458241376255e-06
"16",0.000589980332077571
"17",0.000251257559389245
"18",0.00280090469392496
"19",2.48948955532937e-05
"20",7.09158844360569e-07
"21",2.31650901140193e-05
"22",1.22644111459947e-06
"23",2.97286685308163e-06
"24",1.09416656842791e-05
"25",1.80713300757353e-06
"26",6.43095199847328e-06
"27",4.67947689551918e-06
"28",1.72407815108764e-06
"29",2.65686800779766e-06
"30",1.62994686888663e-05
"31",0.000111621635827039
"32",8.32428952668216e-06
"33",5.90123512008313e-06
"34",1.70120288731696e-05
"35",9.74265489644538e-05
"36",5.96318730069416e-07
"37",1.27589707973494e-05
"38",3.47145060654877e-06
"39",2.66865282792378e-06
"40",8.12436044220991e-06
"41",3.39336476125958e-05
"42",3.38678464213101e-07
"43",9.16640052251737e-05
"44",3.58296203002713e-05
"45",1.1433199194904e-05
"46",1.07876877788775e-06
"47",7.72079079750714e-05
"48",1.5126327205172e-06
"49",1.95190053770742e-06
"50",8.03400801606184e-06
"51",0.000143682909432344
"52",3.30215905828637e-06
"53",0.000118326213381261
"54",1.47531901558965e-05
"55",3.15270370062621e-05
"56",2.63957232284532e-05
"57",5.02124925037577e-05
"58",2.63411596329975e-06
"59",2.54267839030039e-07
"60",1.28126108251121e-08
"61",7.75316278002405e-06
"62",5.23636327143494e-06
"63",2.76983581070246e-08
"64",3.53455300759861e-06
"65",1.03429658994516e-05
"66",6.21393593385956e-06
"67",3.69111776139226e-09
"68",7.53479485419233e-06
"69",4.0990262108239e-05
"70",6.8707927823911e-06
"71",5.29522572120364e-06
"72",3.00097245315394e-06
"73",0.000345964798768801
"74",7.96196498353626e-05
"75",6.16579318979143e-05
"76",0.000582975505942704
"77",6.23908829491427e-06
"78",0.00018536427517818
"79",0.00172873057591115
"80",1.12784106449362e-05
"81",0.00188971151245063
"82",0.00132409796737172
"83",0.00195637328910037
"84",3.64273039950182e-06
"85",0.000103503295397638
"86",0.00049804729345816
"87",0.000244416788333065
"88",0.000198492820497917
"89",0.000577528126512531
"90",0.000219785450399985
"91",0.000439263804383053
"92",0.0003144189267091
"93",0.00495794646379065
"94",9.21173548050558e-05
"95",0.0033019528335356
"96",0.000302938159612066
"97",0.00120948750936645
"98",0.000803466501477261
"99",0.00594340692490763
"100",0.00149479738250193
"101",0.00246916401783267
"102",0.00194550017231581
"103",0.00489022304601323
"104",0.000727263005168338
"105",0.00123239974079163
"106",0.00112378099774747
"107",0.000859827858570532
"108",0.00401637335312569
"109",0.000594488823288737
"110",0.00658854721433536
"111",1.36309697929043e-06
"112",0.00422033835653368
"113",0.000383886381336339
"114",7.53514048603617e-06
"115",1.41923527982409e-05
"116",0.000450384665717395
"117",1.3250870546989e-06
"118",3.32052952163103e-05
"119",5.77670659810329e-06
"120",6.9532066291525e-05
"121",0.000460384295924174
"122",0.000476621727867167
"123",0.000226408994477986
